name,amount,category,date
Groceries,850,Food,2026-04-03
Auto fare,120,Transport,2026-04-05
Lunch with friends,450,Food,2026-04-08
Phone recharge,299,Other,2026-06-11
Bus pass,500,Transport,2026-04-15
Pharmacy,350,Health,2026-06-12
Dress,1200,Shopping,2026-06-14
Dinner,2000,Food,2026-06-15
cab ride,300,Food,2026-06-18
Movie tickets,1800,Other,2026-06-17
shoes,1800,Shopping,2026-06-19
Health checkup,3000,Health,2026-06-20
cosmetics,1500,Shopping,2026-06-19
snacks,250,Food,2026-06-18
dog food,501,Food,2026-06-18
recharge,599,Other,2026-04-01
veggies,300,Food,2026-04-07
cake,1000,Food,2026-04-28
meesho,4000,Shopping,2026-04-28
lap cover,2000,Food,2026-04-23
bedsheets,1500,Other,2026-04-23
gym,3000,Health,2026-04-25
supplements & protien powder,4000,Food,2026-04-29
Family trip,6000,Other,2026-05-13
Jewels,2500,Shopping,2026-05-22
recharge,2000,Other,2026-05-16
Pizza,800,Food,2026-05-19
dress,2000,Shopping,2026-05-25
Doggy,1500,Food,2026-05-30
